date,tr_mean,tr_min,tr_max,tr_std,pr_mean,pr_min,pr_max,pr_std,lf_mean,lf_min,lf_max,lf_std,pos_mean,pos_min,pos_max,pos_std,tags_mean,tags_min,tags_max,tags_std
2021-03-12 07:25:53.035927,0.78,0.78,0.78,0.0,6.76,6.76,6.76,0.0,-0.07,-0.07,-0.07,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0
2021-03-12 19:30:47.599854,90.15,89.5,90.83,0.27,0.68,0.49,0.85,0.07,-0.23,-0.63,0.23,0.2,16.86,16.02,17.68,0.38,93.04,92.36,93.59,0.23
2021-03-13 07:29:18.710777,85.62,84.69,86.51,0.36,4.36,3.94,5.01,0.23,0.2,-0.47,0.94,0.28,24.06,23.03,25.29,0.44,90.5,89.77,91.12,0.28
2021-03-13 19:35:49.348423,85.63,84.72,86.46,0.34,4.33,3.93,4.72,0.19,0.21,-0.34,0.73,0.24,24.02,23.11,24.96,0.4,90.55,89.75,91.63,0.32
2021-03-14 07:31:23.189566,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,8.78,8.65,8.9,0.05,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0
2021-03-14 19:36:28.883170,93.93,93.35,94.61,0.24,10.13,9.31,11.0,0.33,2.34,1.96,2.8,0.18,33.28,31.77,34.7,0.59,78.34,77.06,79.77,0.5
2021-03-15 07:26:54.124323,88.92,88.27,89.95,0.32,4.71,4.21,5.31,0.22,0.49,-0.19,1.08,0.23,31.88,30.48,32.94,0.45,72.13,70.98,73.17,0.43
2021-03-15 19:31:49.713196,85.4,84.55,86.27,0.37,4.4,3.98,4.97,0.21,0.16,-0.53,0.81,0.29,38.39,37.05,39.46,0.51,65.7,64.36,67.11,0.48
2021-03-16 07:36:51.106755,89.87,89.17,90.68,0.29,15.5,14.7,16.54,0.38,2.67,1.87,3.18,0.22,39.08,38.0,40.22,0.47,76.69,75.59,77.89,0.44
2021-03-16 19:31:38.901942,89.9,88.99,90.63,0.31,15.51,14.68,16.54,0.37,2.68,1.91,3.2,0.25,39.05,37.9,40.21,0.49,76.59,75.62,77.9,0.48
