date,mean_no,std,min,max
2020-12-18,33.3,2.2501461940809184,31.0,39.0
2020-12-19,32.2,3.365459224158522,28.0,40.0
2020-12-20,33.05,2.438183102661747,29.0,39.0
2020-12-21 02:00:00,34.05,2.8186409565791215,28.0,40.0
2020-12-22 13:00:00,34.05,2.704285098641939,30.0,40.0
2020-12-23 12:00:00,33.35,3.6888880081729383,25.0,40.0
2020-12-24 06:00:00,32.35,2.560324814919923,28.0,37.0
2020-12-25 05:00:00,28.8,2.261811104775156,25.0,34.0
2020-12-26 05:00:00,26.4,2.741494022186481,22.0,33.0
2020-12-27 11:00:00,26.65,2.9249381459946697,23.0,31.0
2020-12-28 11:00:00,26.15,1.3484884325167859,23.0,28.0
2020-12-29 06:00:00,26.35,2.814903943392441,18.0,31.0
2020-12-30 06:00:00,19.35,2.300457620378584,14.0,24.0
2020-12-31 12:00:00,18.65,1.7554426642213128,16.0,22.0
2021-01-01 06:00:00,16.85,1.7252002172135512,14.0,20.0
2021-01-02 06:00:00,16.55,1.4680814547887788,14.0,20.0
2021-01-03 06:00:00,14.95,1.538112308540638,13.0,19.0
2021-01-04 06:00:00,13.95,1.5719582155957412,10.0,17.0
2021-01-05 05:00:00,14.25,2.074278568309321,10.0,18.0
2021-01-06 05:00:00,12.8,2.142305693455191,8.0,17.0
2021-01-07 05:00:00,12.45,1.6693837501494853,9.0,15.0
2021-01-08 05:00:00,13.45,1.5035046776746237,11.0,17.0
2021-01-09 06:00:00,13.25,2.5520889276702023,10.0,18.0
2021-01-10 06:00:00,12.3,1.7501879598308414,10.0,15.0
2021-01-11 06:00:00,12.4,1.2732056517228263,10.0,15.0
2021-01-12 10:00:00,9.95,1.5035046776746237,7.0,12.0
2021-01-13 07:00:00,9.15,1.5652475842498528,6.0,12.0
2021-01-14 08:00:00,8.75,1.1641577031891928,7.0,11.0
2021-01-15 07:00:00,8.0,1.6543403837370223,5.0,12.0
2021-01-16 08:00:00,8.55,1.4317821063276357,6.0,11.0
2021-01-17 06:00:00,8.9,1.7137217117324384,6.0,14.0
2021-01-18 07:00:00,8.7,1.2607433062326867,7.0,11.0
2021-01-19 07:00:00,9.45,1.2343760409722457,8.0,12.0
2021-01-20 07:00:00,8.15,1.3088765773505318,5.0,10.0
2021-01-21 08:00:00,8.7,1.6575187543592476,6.0,13.0
2021-01-22 07:00:00,8.3,1.4903196407411894,6.0,12.0
2021-01-23 08:00:00,8.65,1.460893742308382,6.0,11.0
2021-01-24 07:00:00,8.6,1.5694450913417912,6.0,13.0
2021-01-25 07:00:00,8.8,1.361114094757441,6.0,12.0
2021-01-26 06:00:00,8.3,1.688973528196155,6.0,12.0
2021-01-27 07:00:00,8.65,1.5652475842498528,6.0,13.0
2021-01-28 07:00:00,9.75,1.446411166701189,8.0,13.0
2021-01-29 10:00:00,9.8,1.6415653633362466,7.0,13.0
2021-01-30 10:00:00,7.4,1.313893370663573,5.0,10.0
2021-01-31 08:00:00,7.0,1.5894388284780523,5.0,11.0
2021-02-01 08:00:00,6.85,1.2258187382102497,5.0,9.0
2021-02-02 09:00:00,7.2,1.105012502906165,5.0,9.0
2021-02-03 09:00:00,6.95,1.5719582155957412,4.0,9.0
2021-02-04 10:00:00,8.1,1.9166857359844665,5.0,13.0
2021-02-05 10:00:00,7.05,1.3945382182304158,5.0,10.0
2021-02-06 07:00:00,7.35,1.3088765773505315,5.0,10.0
2021-02-07 07:00:00,8.5,1.7013926184468011,6.0,13.0
2021-02-08 07:00:00,8.45,1.3562719801759993,6.0,11.0
2021-02-10 02:00:00,9.6,1.465390194130093,7.0,12.0
2021-02-11 02:00:00,9.2,1.704483252453581,6.0,13.0
2021-02-12 04:00:00,9.5,1.7917941611104424,7.0,13.0
2021-02-14 05:00:00,9.75,1.2085223687584246,8.0,12.0
2021-02-15 01:00:00,11.05,1.8202082009311025,8.0,15.0
2021-02-16,10.4,2.062190965683675,7.0,17.0
2021-02-17,10.2,1.0563093645728086,8.0,12.0
2021-02-18 01:00:00,10.15,3.7173136876824886,6.0,24.0
2021-02-20,9.0,1.4867838833500564,6.0,11.0
2021-02-21,9.1,1.5183093090324964,6.0,12.0
2021-02-22,9.3,2.105131574835269,5.0,14.0
2021-02-22 23:00:00,8.7,1.380312702938989,6.0,12.0
2021-02-23 23:00:00,9.35,1.871531880291481,6.0,14.0
2021-02-24 23:00:00,9.85,1.5652475842498528,7.0,14.0
2021-02-26,9.5,1.4689774459950382,6.0,12.0
2021-02-26 23:00:00,10.25,1.9159991209755156,8.0,15.0
2021-02-28,10.6,1.7888543819998317,8.0,15.0
2021-03-01,10.85,1.3484884325167859,8.0,13.0
2021-03-01 23:00:00,11.4,1.391704747876919,9.0,14.0
2021-03-03 23:00:00,11.45,1.538112308540638,9.0,14.0
2021-03-05 23:00:00,11.9,1.7137217117324381,9.0,15.0
2021-03-06 23:00:00,12.9,1.713721711732438,11.0,16.0
2021-03-07 23:00:00,12.25,2.022895267471328,9.0,16.0
2021-03-08 23:00:00,12.5,2.139847510553276,9.0,17.0
2021-03-10,13.5,2.139847510553276,9.0,18.0
2021-03-10 23:00:00,13.45,1.7006190823220508,10.0,17.0
2021-03-11 23:00:00,13.5,1.538967528127731,11.0,18.0
2021-03-12 23:00:00,13.5,2.090076805438398,10.0,18.0
2021-03-13 23:00:00,13.75,1.860248992954834,11.0,17.0
2021-03-14 23:00:00,14.7,1.6254554017744984,12.0,17.0
2021-03-15 23:00:00,14.6,2.0104987598001385,11.0,19.0
2021-03-16 23:00:00,15.5,2.3951705795753164,12.0,20.0
2021-03-17 23:00:00,15.15,2.2070461326349626,9.0,19.0
2021-03-18 23:00:00,15.5,1.7917941611104424,13.0,19.0
2021-03-19 23:00:00,15.65,2.6011131220468307,11.0,20.0
2021-03-20 23:00:00,15.65,1.424411235711461,14.0,19.0
2021-03-21 23:00:00,16.25,2.197486602557807,11.0,20.0
2021-03-23 23:00:00,17.35,1.4608937423083819,15.0,21.0
2021-03-25 23:00:00,17.6,1.7591864148251208,15.0,22.0
2021-03-27,16.95,1.7006190823220508,14.0,20.0
2021-03-28 23:00:00,18.25,1.8027756377319943,14.0,21.0
2021-03-29 23:00:00,18.5,2.1151085576221185,15.0,23.0
2021-03-31 23:00:00,15.3,2.0287408591745297,12.0,19.0
2021-04-01 23:00:00,14.3,1.780005913650733,10.0,17.0
2021-04-02 23:00:00,13.0,1.8064212949190013,11.0,19.0
2021-04-03 23:00:00,12.6,2.062190965683675,10.0,17.0
2021-04-04 23:00:00,12.5,1.9867985355975657,8.0,15.0
2021-04-05 23:00:00,13.15,1.871531880291481,10.0,17.0
2021-04-07,13.45,1.7614288458371994,9.0,17.0
2021-04-08,14.65,1.6311119875071345,12.0,18.0
2021-04-09,14.0,1.6858544608470492,11.0,17.0
2021-04-10,14.75,2.1244194253340942,11.0,19.0
2021-04-11,15.0,1.8918106058538344,12.0,18.0
2021-04-12,15.4,1.5008769366431642,12.0,18.0
2021-04-13,14.95,1.6693837501494848,10.0,18.0
2021-04-20,16.9,1.9166857359844665,14.0,21.0
2021-04-22,17.35,2.1343062474478063,13.0,21.0
2021-04-23,18.35,2.1588252165910693,15.0,23.0
2021-04-24,18.2,2.238420495749061,15.0,23.0
2021-04-25,18.25,1.6503588126605426,15.0,21.0
2021-04-26,17.6,1.5008769366431642,15.0,21.0
2021-04-27,19.15,1.8144159564878983,16.0,22.0
2021-04-28,18.55,1.932410548076104,15.0,24.0
2021-04-29,20.25,1.9701723141310308,16.0,25.0
2021-04-30 01:00:00,18.95,1.538112308540638,16.0,22.0
2021-05-01,19.7,2.2501461940809184,17.0,24.0
2021-05-02,10.65,1.4608937423083819,8.0,13.0
2021-05-03,10.9,1.5525869752736796,7.0,13.0
2021-05-04,11.1,1.1192102478745307,9.0,13.0
2021-05-05 01:00:00,11.35,1.5652475842498528,9.0,15.0
2021-05-06 01:00:00,11.9,1.1652874052533588,10.0,14.0
2021-05-07,12.3,1.3803127029389888,10.0,15.0
2021-05-08,11.8,1.105012502906165,10.0,14.0
2021-05-10,12.2,1.5423836644690752,10.0,15.0
2021-05-11 01:00:00,12.8,1.5761378513048248,10.0,16.0
2021-05-12 01:00:00,13.85,1.8144159564878983,11.0,18.0
2021-05-13 02:00:00,13.85,1.2258187382102497,12.0,16.0
2021-05-14 01:00:00,13.7,1.1285761872936697,12.0,16.0
2021-05-15 02:00:00,14.55,1.8488972531299783,12.0,18.0
2021-05-16,14.8,1.7350868323485928,11.0,17.0
2021-05-17 01:00:00,14.1,1.8609561775433727,11.0,18.0
2021-05-18 01:00:00,14.65,1.694418080515829,11.0,19.0
2021-05-19 01:00:00,15.4,1.6351404253232547,12.0,19.0
2021-05-20 01:00:00,15.0,1.5559732104309982,12.0,17.0
2021-05-21 22:00:00,15.7,1.894590637634032,12.0,20.0
2021-05-22 22:00:00,16.4,1.5355437918998291,12.0,19.0
2021-05-23 22:00:00,17.05,1.3168942730211068,15.0,19.0
2021-05-24 22:00:00,17.0,1.7770466332772772,13.0,20.0
2021-05-25 22:00:00,17.15,1.5652475842498528,14.0,20.0
2021-05-26 22:00:00,17.8,1.5423836644690752,15.0,20.0
2021-05-27 22:00:00,18.05,1.5719582155957412,15.0,21.0
2021-05-28 22:00:00,17.3,1.7501879598308414,14.0,21.0
2021-05-29 22:00:00,17.9,1.7137217117324381,15.0,21.0
2021-05-30 22:00:00,18.45,1.5719582155957414,15.0,23.0
2021-05-31 22:00:00,18.4,2.062190965683675,15.0,23.0
2021-06-02 22:00:00,19.5,1.7917941611104424,16.0,23.0
2021-06-03 22:00:00,19.05,2.502104377476982,14.0,24.0
2021-06-04 22:00:00,19.6,1.9841477024816367,16.0,22.0
2021-06-05 22:00:00,20.55,2.3946211655115284,16.0,25.0
2021-06-06 22:00:00,19.45,1.79105966869954,15.0,22.0
2021-06-07 22:00:00,20.95,1.9594574974238472,18.0,25.0
2021-06-08 22:00:00,21.05,1.731290969494334,19.0,25.0
2021-06-09 22:00:00,21.3,1.9221698265515617,17.0,25.0
2021-06-10 22:00:00,20.4,1.6982963599783722,17.0,24.0
2021-06-11 22:00:00,20.6,1.3138933706635727,18.0,24.0
2021-06-12 22:00:00,21.35,1.5985190514644287,18.0,24.0
2021-06-13 22:00:00,21.2,1.852452144420584,18.0,25.0
2021-06-15 22:00:00,22.3,2.105131574835269,18.0,26.0
2021-06-16 22:00:00,22.9,2.4899799195977463,17.0,26.0
2021-06-17 22:00:00,22.6,1.7591864148251208,19.0,27.0
2021-06-18 22:00:00,23.55,2.1144863753590246,20.0,27.0
2021-06-19 22:00:00,23.3,2.054520048960085,20.0,26.0
2021-06-20 22:00:00,23.4,2.233712981609438,20.0,28.0
2021-06-21 22:00:00,23.6,2.370875920747213,20.0,29.0
2021-06-22 22:00:00,24.0,1.6858544608470492,22.0,27.0
2021-06-23 22:00:00,23.55,1.9049796241485244,20.0,27.0
2021-06-24 22:00:00,24.0,1.6543403837370223,20.0,26.0
2021-06-25 22:00:00,24.8,1.98944583661936,22.0,29.0
2021-06-26 22:00:00,23.25,1.831737742662616,20.0,26.0
2021-06-27 22:00:00,24.2,1.98944583661936,21.0,28.0
2021-06-28 22:00:00,24.95,1.7614288458371992,21.0,28.0
2021-06-29 22:00:00,24.25,1.860248992954834,21.0,27.0
2021-06-30 22:00:00,24.55,1.6375527311718607,22.0,28.0
2021-07-01 22:00:00,24.7,2.7357285183869737,20.0,30.0
2021-07-02 22:00:00,24.5,2.139847510553276,21.0,28.0
2021-07-03 20:00:00,26.85,8.349440573759228,13.0,47.0
2021-07-04 22:00:00,25.9,2.04939015319192,22.0,31.0
2021-07-05 20:00:00,25.9,8.283782507500963,11.0,42.0
2021-07-07 21:00:00,24.6,4.988407614290937,11.0,35.0
2021-07-08 22:00:00,26.9,1.9166857359844665,23.0,31.0
2021-07-09 20:00:00,24.0,7.643366577077076,7.0,41.0
2021-07-10 20:00:00,25.2,8.888786549118473,15.0,43.0
2021-07-11 20:00:00,23.85,7.379024325749307,9.0,34.0
2021-07-12 20:00:00,26.7,6.913754406977443,14.0,42.0
2021-07-13 20:00:00,22.65,9.734772183964257,8.0,45.0
2021-07-14 20:00:00,27.35,6.975709735631887,10.0,43.0
2021-07-15 20:00:00,23.35,11.075221276154688,5.0,51.0
2021-07-16 22:00:00,27.1,1.99736668746891,24.0,32.0
2021-07-17 22:00:00,26.55,2.1878853044122666,23.0,31.0
2021-07-18 22:00:00,26.9,1.3726654823065194,24.0,29.0
2021-07-19 20:00:00,31.45,10.086337815397409,13.0,56.0
2021-07-20 20:00:00,30.0,7.298161268068611,14.0,42.0
2021-07-21 20:00:00,27.2,5.987706704486065,16.0,44.0
2021-07-23 20:00:00,26.2,8.401754202796612,10.0,49.0
2021-07-24 20:00:00,18.3,5.876805433674249,8.0,32.0
2021-07-25 22:00:00,19.4,1.9029063643750173,15.0,23.0
2021-07-26 21:00:00,18.15,3.1165939573093,9.0,23.0
2021-07-28 22:00:00,20.05,1.932410548076104,15.0,23.0
2021-07-29 20:00:00,19.55,9.167878707749137,6.0,38.0
2021-07-30 21:00:00,19.7,5.272570530585627,9.0,29.0
2021-07-31 20:00:00,15.6,5.743646375275077,6.0,26.0
2021-08-01 20:00:00,15.45,8.055563621693885,5.0,31.0
2021-08-02 22:00:00,13.7,1.6254554017744982,11.0,17.0
2021-08-03 22:00:00,9.95,1.6693837501494848,7.0,13.0
2021-08-04 21:00:00,8.1,2.6930710311737727,4.0,16.0
